match_id,utc_date,status,matchday,stage,group_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score_home_ft,score_away_ft,score_home_ht,score_away_ht,winner,duration,referee_name,referee_nationality,venue_name,venue_city,venue_country,venue_has_ac,venue_latitude,venue_longitude,venue_timezone,collected_at
537390,2026-07-19T19:00:00Z,TIMED,,FINAL,,,,,,,,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701190+00:00
537391,2026-06-16T19:00:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_I,773.0,France,FRA,804.0,Senegal,SEN,3.0,1.0,0.0,0.0,HOME_TEAM,REGULAR,Alireza Faghani,Iran,,,,,,,,2026-06-29T08:56:57.700505+00:00
537392,2026-06-16T22:00:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_I,8062.0,Iraq,IRQ,8872.0,Norway,NOR,1.0,4.0,1.0,2.0,AWAY_TEAM,REGULAR,Pierre Atcho,Gabon,,,,,,,,2026-06-29T08:56:57.700513+00:00
537393,2026-06-22T21:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_I,773.0,France,FRA,8062.0,Iraq,IRQ,3.0,0.0,1.0,0.0,HOME_TEAM,REGULAR,Drew Fischer,Canada,,,,,,,,2026-06-29T08:56:57.700726+00:00
537394,2026-06-23T00:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_I,8872.0,Norway,NOR,804.0,Senegal,SEN,3.0,2.0,1.0,0.0,HOME_TEAM,REGULAR,Wilton Sampaio,Brazil,,,,,,,,2026-06-29T08:56:57.700733+00:00
537395,2026-06-26T19:00:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_I,8872.0,Norway,NOR,773.0,France,FRA,1.0,4.0,1.0,3.0,AWAY_TEAM,REGULAR,Michael Oliver,England,,,,,,,,2026-06-29T08:56:57.700862+00:00
537396,2026-06-26T19:00:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_I,804.0,Senegal,SEN,8062.0,Iraq,IRQ,5.0,0.0,1.0,0.0,HOME_TEAM,REGULAR,Anthony Taylor,England,,,,,,,,2026-06-29T08:56:57.700869+00:00
537397,2026-06-17T01:00:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_J,762.0,Argentina,ARG,778.0,Algeria,ALG,3.0,0.0,1.0,0.0,HOME_TEAM,REGULAR,Szymon Marciniak,Poland,,,,,,,,2026-06-29T08:56:57.700520+00:00
537398,2026-06-17T04:00:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_J,816.0,Austria,AUT,8049.0,Jordan,JOR,3.0,1.0,1.0,0.0,HOME_TEAM,REGULAR,Dahane Beida,Mauritania,,,,,,,,2026-06-29T08:56:57.700562+00:00
537399,2026-06-22T17:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_J,762.0,Argentina,ARG,816.0,Austria,AUT,2.0,0.0,1.0,0.0,HOME_TEAM,REGULAR,Amin Omar,Egypt,,,,,,,,2026-06-29T08:56:57.700718+00:00
537400,2026-06-23T03:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_J,8049.0,Jordan,JOR,778.0,Algeria,ALG,1.0,2.0,1.0,0.0,AWAY_TEAM,REGULAR,Slavko Vinčič,Slovenia,,,,,,,,2026-06-29T08:56:57.700740+00:00
537401,2026-06-28T02:00:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_J,8049.0,Jordan,JOR,762.0,Argentina,ARG,1.0,3.0,0.0,2.0,AWAY_TEAM,REGULAR,István Kovács,Romania,,,,,,,,2026-06-29T08:56:57.700932+00:00
537402,2026-06-28T02:00:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_J,778.0,Algeria,ALG,816.0,Austria,AUT,3.0,3.0,1.0,1.0,DRAW,REGULAR,Il'giz Tantashev,Uzbekistan,,,,,,,,2026-06-29T08:56:57.700939+00:00
537403,2026-06-17T17:00:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_K,765.0,Portugal,POR,1934.0,Congo DR,COD,1.0,1.0,1.0,1.0,DRAW,REGULAR,Abdulrahman Al Jassim,Qatar,,,,,,,,2026-06-29T08:56:57.700572+00:00
537404,2026-06-18T02:00:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_K,8070.0,Uzbekistan,UZB,818.0,Colombia,COL,1.0,3.0,0.0,1.0,AWAY_TEAM,REGULAR,Anthony Taylor,England,,,,,,,,2026-06-29T08:56:57.700594+00:00
537405,2026-06-23T17:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_K,765.0,Portugal,POR,8070.0,Uzbekistan,UZB,5.0,0.0,3.0,0.0,HOME_TEAM,REGULAR,Jalal Jayed,Morocco,,,,,,,,2026-06-29T08:56:57.700747+00:00
537406,2026-06-24T02:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_K,818.0,Colombia,COL,1934.0,Congo DR,COD,1.0,0.0,0.0,0.0,HOME_TEAM,REGULAR,,,,,,,,,,2026-06-29T08:56:57.700769+00:00
537407,2026-06-27T23:30:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_K,818.0,Colombia,COL,765.0,Portugal,POR,0.0,0.0,0.0,0.0,DRAW,REGULAR,Alireza Faghani,Iran,,,,,,,,2026-06-29T08:56:57.700919+00:00
537408,2026-06-27T23:30:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_K,1934.0,Congo DR,COD,8070.0,Uzbekistan,UZB,3.0,1.0,0.0,1.0,HOME_TEAM,REGULAR,Felix Zwayer,Germany,,,,,,,,2026-06-29T08:56:57.700926+00:00
537409,2026-06-17T20:00:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_L,770.0,England,ENG,799.0,Croatia,CRO,4.0,2.0,2.0,2.0,HOME_TEAM,REGULAR,Clément Turpin,France,,,,,,,,2026-06-29T08:56:57.700579+00:00
537410,2026-06-17T23:00:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_L,763.0,Ghana,GHA,1836.0,Panama,PAN,1.0,0.0,0.0,0.0,HOME_TEAM,REGULAR,Glenn Nyberg,Sweden,,,,,,,,2026-06-29T08:56:57.700587+00:00
537411,2026-06-23T20:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_L,770.0,England,ENG,763.0,Ghana,GHA,0.0,0.0,0.0,0.0,DRAW,REGULAR,Said Martinez,Honduras,,,,,,,,2026-06-29T08:56:57.700754+00:00
537412,2026-06-23T23:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_L,1836.0,Panama,PAN,799.0,Croatia,CRO,0.0,1.0,0.0,0.0,AWAY_TEAM,REGULAR,,,,,,,,,,2026-06-29T08:56:57.700761+00:00
537413,2026-06-27T21:00:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_L,1836.0,Panama,PAN,770.0,England,ENG,0.0,2.0,0.0,0.0,AWAY_TEAM,REGULAR,Abdulrahman Al Jassim,Qatar,,,,,,,,2026-06-29T08:56:57.700905+00:00
537414,2026-06-27T21:00:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_L,799.0,Croatia,CRO,763.0,Ghana,GHA,2.0,1.0,1.0,0.0,HOME_TEAM,REGULAR,Drew Fischer,Canada,,,,,,,,2026-06-29T08:56:57.700912+00:00
537415,2026-06-29T20:30:00Z,TIMED,,LAST_32,,759.0,Germany,GER,761.0,Paraguay,PAR,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.700980+00:00
537416,2026-06-30T21:00:00Z,TIMED,,LAST_32,,773.0,France,FRA,792.0,Sweden,SWE,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701003+00:00
537417,2026-06-28T19:00:00Z,FINISHED,,LAST_32,,774.0,South Africa,RSA,828.0,Canada,CAN,0.0,1.0,0.0,0.0,AWAY_TEAM,REGULAR,João Pinheiro,Portugal,,,,,,,,2026-06-29T08:56:57.700946+00:00
537418,2026-06-30T01:00:00Z,TIMED,,LAST_32,,8601.0,Netherlands,NED,815.0,Morocco,MAR,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.700987+00:00
537419,2026-07-02T23:00:00Z,TIMED,,LAST_32,,765.0,Portugal,POR,799.0,Croatia,CRO,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701046+00:00
537420,2026-07-02T19:00:00Z,TIMED,,LAST_32,,760.0,Spain,ESP,816.0,Austria,AUT,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701039+00:00
537421,2026-07-02T00:00:00Z,TIMED,,LAST_32,,771.0,United States,USA,1060.0,Bosnia-Herzegovina,BIH,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701032+00:00
537422,2026-07-01T20:00:00Z,TIMED,,LAST_32,,805.0,Belgium,BEL,804.0,Senegal,SEN,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701024+00:00
537423,2026-06-29T17:00:00Z,TIMED,,LAST_32,,764.0,Brazil,BRA,766.0,Japan,JPN,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.700971+00:00
537424,2026-06-30T17:00:00Z,TIMED,,LAST_32,,1935.0,Ivory Coast,CIV,8872.0,Norway,NOR,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.700995+00:00
537425,2026-07-01T01:00:00Z,TIMED,,LAST_32,,769.0,Mexico,MEX,791.0,Ecuador,ECU,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701010+00:00
537426,2026-07-01T16:00:00Z,TIMED,,LAST_32,,770.0,England,ENG,1934.0,Congo DR,COD,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701017+00:00
537427,2026-07-03T22:00:00Z,TIMED,,LAST_32,,762.0,Argentina,ARG,1930.0,Cape Verde Islands,CPV,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701067+00:00
537428,2026-07-03T18:00:00Z,TIMED,,LAST_32,,779.0,Australia,AUS,825.0,Egypt,EGY,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701060+00:00
537429,2026-07-03T03:00:00Z,TIMED,,LAST_32,,788.0,Switzerland,SUI,778.0,Algeria,ALG,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701053+00:00
537430,2026-07-04T01:30:00Z,TIMED,,LAST_32,,818.0,Colombia,COL,763.0,Ghana,GHA,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701075+00:00
